22-05-2024 18:05:45.171 [restartedMain] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
22-05-2024 18:05:45.171 [restartedMain] WARN  -org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
22-05-2024 18:05:45.171 [restartedMain] WARN  -org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
22-05-2024 18:05:45.208 [restartedMain] INFO  -o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22-05-2024 18:05:45.220 [restartedMain] INFO  -o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22-05-2024 18:05:45.348 [restartedMain] INFO  -o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
22-05-2024 18:05:45.351 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - Started BookReviewApplication in 0.418 seconds (process running for 182.838)
22-05-2024 18:05:46.746 [Thread-11] INFO  -o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9090"]
22-05-2024 18:05:46.749 [Thread-11] INFO  -o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22-05-2024 18:05:46.749 [Thread-11] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
22-05-2024 18:05:46.752 [Thread-11] INFO  -com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
22-05-2024 18:05:46.802 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - Starting BookReviewApplication using Java 22.0.1 with PID 36559 (/home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend/target/classes started by nikhil in /home/nikhil/IIITB/SEM2/SPE/Major project/GIT/SPE-Major-Project/SpringBackend)
22-05-2024 18:05:46.802 [restartedMain] INFO  -c.S.BookReview.BookReviewApplication - No active profile set, falling back to 1 default profile: "default"
22-05-2024 18:05:46.882 [restartedMain] INFO  -o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22-05-2024 18:05:46.893 [restartedMain] INFO  -o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 3 JPA repository interfaces.
22-05-2024 18:05:46.945 [restartedMain] INFO  -o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
22-05-2024 18:05:46.945 [restartedMain] INFO  -o.a.catalina.core.StandardService - Starting service [Tomcat]
22-05-2024 18:05:46.945 [restartedMain] INFO  -o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22-05-2024 18:05:46.949 [restartedMain] INFO  -o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22-05-2024 18:05:46.968 [restartedMain] INFO  -o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22-05-2024 18:05:46.969 [restartedMain] INFO  -o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
